id,Collector ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,location,company_size,org_type,job_function_Software Architect,job_function_Security Engineer,job_function_Applications Developer,job_function_Mobile Developer,job_function_Back-End Developer,job_function_Front-End Developer,job_function_Full-Stack Developer,job_function_Game or Graphics Engineer,job_function_Quality Assurance Engineer,job_function_Development Manager,job_function_IT Manager/Operations,job_function_Software Development Management,job_function_DevOps Management,job_function_Product/Project Management,job_function_Release Management,job_function_Machine Learning Specialist,job_function_Data Scientist,job_function_Database Administrator,job_function_Training/Certification,job_function_Developer Relations,job_function_Sales,job_function_Marketing,job_function_Other (please specify),role,role_other_text,What is your job title?,data_center_Private cloud / on-premises,data_center_Public cloud,data_center_Hybrid cloud,data_center_Other (please specify),number_of_machines,activities_Develop software,activities_Test software,activities_Monitor and troubleshoot applications,activities_Architect software,activities_Manage deployment pipeline,activities_Manage security processes,activities_Manage data processes,activities_Work with AI and ML systems,activities_Work with infrastructure resources,activities_Cost management,"activities_Research, evaluate, and purchase new technologies",activities_Manage a cloud platform,container_Proof of concept,container_Development,container_Test,container_Production,kubernetes_Proof of concept,kubernetes_Development,kubernetes_Test,kubernetes_Production,kubernetes_Other (please specify),learn_Twitter,learn_YouTube,learn_Discuss Blog,learn_Meet ups and local events,learn_KubeCon,learn_StackOverflow,learn_Documentation,learn_Other (please specify),nps,nps_open,tech_explanation,non_tech_explanation,How would you explain to a colleague or friend the steps you’ve had to take thus far to reach your goals?,other_solutions,...80,...81,...82,...83,...84,...85,...86,...88
11592195101,257620230,2020-05-12T17:01:21Z,2020-05-12T17:06:27Z,NA,NA,NA,NA,Europe,50-99,None of the above,NA,Security Engineer,NA,NA,NA,NA,NA,NA,NA,NA,IT Manager/Operations,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,DevOps Engineer,Private cloud / on-premises,Public cloud,NA,NA,101-200,Somewhat involved,Not involved,Very involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,YouTube,NA,NA,KubeCon,NA,Documentation,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592158054,257620230,2020-05-12T16:53:45Z,2020-05-12T17:00:32Z,NA,NA,NA,NA,Asia,5000+,Consultant,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT Manager/Operations,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,Sales,NA,NA,Individual contributor,NA,Architect,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,NA,NA,Very involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Very involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Used in the past,NA,Twitter,YouTube,Discuss Blog,NA,KubeCon,NA,Documentation,NA,10,Application based infrastructure,Nextgen infrastructure,Time to market,NA,cloud,NA,NA,NA,NA,NA,NA,NA,NA
11592105174,257620230,2020-05-12T16:42:00Z,2020-05-12T16:45:37Z,NA,NA,NA,NA,Europe,1000-4999,None of the above,NA,NA,NA,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Full stack engineer,Private cloud / on-premises,Public cloud,NA,NA,6-20,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Not involved,Not involved,Not involved,Not involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Used in the past,Currently using,NA,NA,NA,Discuss Blog,NA,NA,StackOverflow,Documentation,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592099607,257620230,2020-05-12T16:41:03Z,2020-05-12T16:45:53Z,NA,NA,NA,NA,Asia,5000+,None of the above,Software Architect,NA,Applications Developer,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scientist/Researcher,NA,Software architect,Private cloud / on-premises,NA,NA,NA,5000+,Somewhat involved,Not involved,Somewhat involved,Very involved,Very involved,Not involved,Very involved,Somewhat involved,Very involved,Not involved,Very involved,Somewhat involved,Used in the past,Currently using,Currently using,Currently using,Used in the past,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,NA,NA,StackOverflow,NA,NA,10,Solves a tough problem and saves time.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592072659,257620230,2020-05-12T16:34:45Z,2020-05-12T16:37:34Z,NA,NA,NA,NA,Europe,10-49,Managed service provider,NA,NA,NA,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,NA,NA,Public cloud,NA,NA,6-20,Very involved,Not involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Not involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Currently using,Currently using,Future plans,Future plans,Currently using,Currently using,Future plans,Future plans,NA,Twitter,YouTube,Discuss Blog,NA,NA,NA,Documentation,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592053171,257620230,2020-05-12T16:29:52Z,2020-05-12T16:32:38Z,NA,NA,NA,NA,Europe,100-499,Consultant,NA,Security Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,NA,Private cloud / on-premises,Public cloud,NA,NA,51-100,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Not involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,Meet ups and local events,NA,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11592050195,257620230,2020-05-12T16:23:27Z,2020-05-12T16:35:09Z,NA,NA,NA,NA,Europe,5000+,None of the above,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT Manager/Operations,NA,DevOps Management,Product/Project Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scientist/Researcher,NA,Computing Engineer,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Very involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Not involved,Somewhat involved,Very involved,Not involved,Somewhat involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,YouTube,NA,Meet ups and local events,KubeCon,StackOverflow,Documentation,NA,10,"Multiple deployment options (on-premises and cloud), reusability across multiple deployments, declarative deployments, integrated monitoring and lifecycle management of deployments.",Simplified infrastructure management and improved resource usage.,NA,"Steep learning curve, interact intensively with the community to follow up on fast release cycles and new features/best practices.","Swam, Mesos.",NA,NA,NA,NA,NA,NA,NA,NA
11592031128,257620230,2020-05-12T16:24:48Z,2020-05-12T16:31:17Z,NA,NA,NA,NA,Europe,5000+,None of the above,Software Architect,NA,Applications Developer,NA,Back-End Developer,Front-End Developer,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Junior Professional,Private cloud / on-premises,Public cloud,NA,NA,5000+,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Not involved,Somewhat involved,Somewhat involved,Very involved,Not involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,Twitter,NA,NA,NA,NA,StackOverflow,Documentation,NA,10,Best way to orchestrate containers,"Abstract machine details away and distribute applications over many nodes. Additionally use codified Ops knowledge using operators, that manage the lifecycle of stateful applications","Let applications run on many servers, without caring on which they actually run. The main thing is, that it runs somewhere, even if some servers fail",Company already provides K8s as a platform. Apply for a namespace and you're fine,Docker Swarm,NA,NA,NA,NA,NA,NA,NA,NA
11591969343,257620230,2020-05-12T16:09:49Z,2020-05-12T16:23:18Z,NA,NA,NA,NA,Europe,<10,Consultant,NA,NA,NA,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Founder/Owner,Professional Services/Consultant,NA,Founder/Owner/Developer,Private cloud / on-premises,Public cloud,NA,NA,6-20,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Not involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,NA,NA,NA,NA,Documentation,NA,7,"The time and knowledge required to maintain a cluster is quite large. The curve to learn is quite steep, but when knowing how to use and/or manage a cluster, it's awesome.  If it was a person with high technical skill or a company with the funds to either hire someone to take care of the cluster or to at the least learn how to deploy to a managed cluster, I would probably say that it's a 10. If it's not, I would probably recommend not to jump in to it due to above reasons.","It's a quickly evolving tool which allows for us to control, monitor and scale the applications, but also automate the whole stack and basically the whole pipeline from testing to production. I can't explain what I'm trying to achieve with it, as I already have! :)","A stable and self managed cloud, with many computers that works together to make sure that everything works as it should and is easy to take care of if not.","Starting from learning docker it was not that huge of a step to walk into the world of k8s, it's a whole lot more complex, but by reading documentation and testing (countless re-provisions of clusters) and days of deep diving in documentation I have been able to reach to the point I am at the moment.","Not many others, I have used docker swarm before starting with kubernetes, it was a simple step from just plain docker, but the limitations made me start evaluating kubernetes. Other than that, I have not worked directly with orchestrators like k8s before.",NA,NA,NA,NA,NA,NA,NA,NA
11591969171,257620230,2020-05-12T16:10:36Z,2020-05-12T16:19:09Z,NA,NA,NA,NA,Europe,10-49,Consultant,Software Architect,NA,NA,NA,Back-End Developer,NA,NA,NA,NA,NA,IT Manager/Operations,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Head of backend,NA,Public cloud,NA,NA,6-20,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Currently using,Future plans,Currently using,Currently using,NA,Twitter,NA,Discuss Blog,Meet ups and local events,NA,NA,Documentation,NA,8,"Kubernetes is hard to understand and maintain properly (if you do that mostly alone), but gives tremendous opportunities to create  environments the way you like.",We're creating a internal-only PaaS for hosting client applications with a centralized monitoring & billing.,We're trying to decrease the costs of hosting our customers' solutions and to make the development easier (and make less bugs).,"We're already managing most of our production apps with Kubernetes and all the apps are developed (so-called ""staging"" env) using Kubernetes.",Azure PaaS solutions (mainly AppService-type services). I would go with Nomad (if available) or develop something on top of Azure's ACI/ServiceFabric/AppServices.,NA,NA,NA,NA,NA,NA,NA,NA
11588749143,257620230,2020-05-11T21:53:13Z,2020-05-11T21:55:44Z,NA,NA,NA,NA,Europe,5000+,None of the above,Software Architect,NA,NA,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical consultant,Professional Services/Consultant,NA,Principal technical consultant,Private cloud / on-premises,Public cloud,NA,NA,501-1000,Not involved,Somewhat involved,Very involved,Somewhat involved,Not involved,Not involved,Not involved,Somewhat involved,Very involved,Not involved,Somewhat involved,Not involved,Currently using,Currently using,Currently using,Future plans,Currently using,Currently using,Currently using,Future plans,NA,NA,YouTube,NA,Meet ups and local events,NA,NA,Documentation,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11504202594,257620230,2020-04-15T04:46:37Z,2020-04-15T04:54:18Z,NA,NA,NA,NA,South and Central America,5000+,Managed service provider,Software Architect,NA,Applications Developer,Mobile Developer,Back-End Developer,Front-End Developer,Full-Stack Developer,NA,NA,NA,NA,NA,DevOps Management,NA,Release Management,NA,NA,NA,Training/Certification,NA,Sales,NA,NA,Professional Services/Consultant,NA,Cloud Solution Architect,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Very involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,Twitter,YouTube,NA,NA,NA,StackOverflow,Documentation,"Pluralsight, Linux Academy, Udemy, etc.",10,"Once learning curve is met, pleasure is almost guaranteed.",Makes life easier.,"Make sure that uptime is guaranteed with a certain type of technology that was built open source and can run on cloud, managed services.","Study, explore, learn from others, understand, play and you will succeed.",PaaS in general. Serverless in specific cases.,NA,NA,NA,NA,NA,NA,NA,NA
11496630425,257620230,2020-04-08T14:33:03Z,2020-04-12T10:54:09Z,NA,NA,NA,NA,Europe,100-499,Managed service provider,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Solutions Architect at CTO office,NA,Public cloud,NA,NA,NA,NA,NA,NA,Very involved,Somewhat involved,NA,NA,NA,Very involved,NA,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,Currently using,Future plans,NA,Twitter,YouTube,NA,NA,KubeCon,NA,Documentation,NA,10,"- Production-ready platform/system  - Rich APIs with configurable options, which allows integrating into any automation pipeline  - The biggest community of a software/platform I know  - One of the best documentation I've ever known  - (Kelsey quote) - Infrastructure as Data :-)  - Multiple communities/commercial solutions/tools per problem","Managing application/container infrastructure in a declarative manner, with layers of automation and integrations to other systems/platforms","A platform that allows companies to deliver software more quickly and with fewer bugs/errors, resulting in more stable application","I didn't quite understand the questions...  Personal goals: Learn the concept of containers, what the ""bring to the table"" and how to properly use them, understand the challenges in container orchestrations and the tooling around it, read documentation, explore and research, implement --> then iterate :)  Company goals: Understand company challenges, research for valuable solutions, create a proposal for implementation, POC, Implement --> iterate",I immediately tried K8s (and OpenShift in its K8s version) after learning Docker.    If K8s wasn't available I'll probably use Nomad/Mesos(Marathon scheduler ) or built a custom scheduler which is built to the company I work in,NA,NA,NA,NA,NA,NA,NA,NA
11484625065,257620230,2020-04-08T00:31:11Z,2020-04-08T00:40:52Z,NA,NA,NA,NA,Europe,100-499,Managed service provider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Software / DevOps Engineer,Individual contributor,NA,Staff Software Engineer,NA,Public cloud,NA,NA,51-100,Very involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Very involved,Not involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,Twitter,YouTube,NA,Meet ups and local events,NA,NA,Documentation,NA,10,The flexibility to use the right tools on/with Kubernetes and  the broad eco-system.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11482344289,257620230,2020-04-07T09:52:02Z,2020-04-07T09:55:35Z,NA,NA,NA,NA,Europe,5000+,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,NA,Private cloud / on-premises,Public cloud,NA,NA,2001-5000,Not involved,Not involved,Somewhat involved,Not involved,Not involved,Not involved,Not involved,Not involved,Very involved,Very involved,Very involved,Very involved,Used in the past,Currently using,Currently using,Currently using,Used in the past,NA,NA,Currently using,NA,Twitter,YouTube,Discuss Blog,Meet ups and local events,KubeCon,StackOverflow,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11480577488,257620230,2020-04-06T19:53:54Z,2020-04-06T19:58:46Z,NA,NA,NA,NA,Europe,5000+,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,SRE,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,21-50,Somewhat involved,Not involved,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Not involved,Somewhat involved,Not involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,NA,NA,NA,Meet ups and local events,KubeCon,NA,Documentation,Tutorials udemy for example,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11480553436,257620230,2020-04-06T19:47:38Z,2020-04-06T19:50:10Z,NA,NA,NA,NA,North America,5000+,None of the above,Software Architect,NA,NA,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,Software Engineer,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Very involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Somewhat involved,Not involved,Not involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,Currently using,NA,Future plans,NA,NA,NA,NA,Meet ups and local events,KubeCon,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11480381712,257620230,2020-04-06T18:51:31Z,2020-04-06T18:55:38Z,NA,NA,NA,NA,Europe,100-499,None of the above,Software Architect,Security Engineer,Applications Developer,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,NA,Private cloud / on-premises,NA,NA,NA,21-50,Very involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Used in the past,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,NA,YouTube,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11479388919,257620230,2020-04-06T13:16:22Z,2020-04-06T13:43:45Z,NA,NA,NA,NA,Europe,10-49,None of the above,NA,NA,NA,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,Senior Software Engineer,NA,Public cloud,NA,NA,51-100,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,NA,NA,NA,NA,NA,StackOverflow,Documentation,blogs,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11478909917,257620230,2020-04-06T08:22:02Z,2020-04-06T08:27:16Z,NA,NA,NA,NA,Europe,100-499,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,devops manager,Private cloud / on-premises,NA,NA,NA,2001-5000,Somewhat involved,NA,Somewhat involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,Twitter,NA,NA,NA,NA,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11478738341,257620230,2020-04-06T06:10:55Z,2020-04-06T06:29:46Z,NA,NA,NA,NA,North America,50-99,Managed service provider,Software Architect,Security Engineer,Applications Developer,NA,Back-End Developer,NA,NA,NA,NA,Development Manager,NA,NA,NA,NA,Release Management,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,Principal Software Developer,Private cloud / on-premises,Public cloud,NA,NA,1-5,Very involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,NA,NA,NA,NA,NA,NA,NA,What backend sevices developer has not heard of kubernetes? Hacker news maybe?,8,Great for a lot of applications and for bei g able to deploy a service architecture across multiple environments. But might be Overkill right now if you have a trivial app that will run on one machine.,We want to be able to deploy our services across multiple environments with minimal downtime. And managed kubernetes from all of the major cloud providers makes this easy and avoids lock-in.,"We can deploy our app to any of the major clouds without changing it much. Usually for each cloud you have to describe your app in some special syntax for that specific cloud, which is time consuming, and annoying.","I just walked in and handled it, you know how I do.",Probably try to describe it all in Terraform or Docker Swarm,NA,NA,NA,NA,NA,NA,NA,NA
11478194306,257620230,2020-04-05T23:22:03Z,2020-04-05T23:26:12Z,NA,NA,NA,NA,Europe,10-49,Consultant,Software Architect,NA,Applications Developer,NA,Back-End Developer,Front-End Developer,Full-Stack Developer,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,Database Administrator,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Software Engineer,Private cloud / on-premises,Public cloud,NA,NA,21-50,Very involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Not involved,Not involved,Very involved,Somewhat involved,Currently using,Currently using,Currently using,Currently using,Currently using,NA,NA,Future plans,NA,NA,YouTube,NA,NA,NA,StackOverflow,Documentation,NA,8,No vendor lockin cloud solutions.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11478171331,257620230,2020-04-05T23:01:09Z,2020-04-05T23:04:27Z,NA,NA,NA,NA,Europe,500-999,Consultant,NA,Security Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,DevOps Engineer,NA,Public cloud,NA,NA,101-200,Not involved,Not involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Not involved,Very involved,Not involved,Not involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,Currently using,Used in the past,Future plans,NA,Twitter,NA,Discuss Blog,Meet ups and local events,KubeCon,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11477780078,257620230,2020-04-05T17:59:49Z,2020-04-05T18:03:21Z,NA,NA,NA,NA,Asia,1000-4999,None of the above,Software Architect,Security Engineer,Applications Developer,NA,Back-End Developer,NA,Full-Stack Developer,NA,NA,Development Manager,IT Manager/Operations,Software Development Management,DevOps Management,Product/Project Management,Release Management,NA,NA,NA,NA,NA,NA,NA,NA,Manager/Director,NA,VP,NA,Public cloud,NA,NA,5000+,Very involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,Used in the past,NA,Future plans,Currently using,NA,Twitter,YouTube,NA,NA,KubeCon,StackOverflow,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11477743486,257620230,2020-04-05T17:33:50Z,2020-04-05T17:46:18Z,NA,NA,NA,NA,North America,5000+,Managed service provider,Software Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Solution architect principal,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,1001-2000,Very involved,Not involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Currently using,Currently using,Future plans,Future plans,NA,Currently using,NA,Future plans,NA,Twitter,YouTube,Discuss Blog,NA,NA,NA,Documentation,NA,9,"Extensible, scalable, cost effective","Through reference implementation, presentations","Through simple implementation, presentations","Documentation, providing links","Ian’s (scale sets), functions as service",NA,NA,NA,NA,NA,NA,NA,NA
11477540294,257620230,2020-04-05T15:05:23Z,2020-04-05T15:09:34Z,NA,NA,NA,NA,Asia,5000+,Managed service provider,NA,NA,Applications Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual contributor,NA,NA,Private cloud / on-premises,NA,NA,NA,101-200,Very involved,Somewhat involved,Very involved,Somewhat involved,Very involved,Somewhat involved,Not involved,Not involved,Somewhat involved,Somewhat involved,Very involved,Very involved,N/A,Currently using,NA,Currently using,NA,NA,NA,Currently using,NA,NA,NA,NA,NA,NA,NA,NA,Kubernetes Website,9,Ease of Container Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11477536420,257620230,2020-04-05T15:00:44Z,2020-04-05T15:05:21Z,NA,NA,NA,NA,South and Central America,500-999,None of the above,NA,NA,Applications Developer,NA,NA,NA,Full-Stack Developer,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,NA,Private cloud / on-premises,NA,NA,NA,21-50,Very involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Very involved,Very involved,Somewhat involved,Future plans,Future plans,Future plans,Future plans,NA,NA,NA,Future plans,NA,NA,NA,NA,NA,NA,NA,Documentation,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11477487049,257620230,2020-04-05T14:14:13Z,2020-04-05T14:24:43Z,NA,NA,NA,NA,South and Central America,5000+,None of the above,Software Architect,NA,Applications Developer,NA,Back-End Developer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,Leaf Architect,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,5000+,Very involved,Somewhat involved,Somewhat involved,Very involved,Somewhat involved,Somewhat involved,Somewhat involved,Not involved,Somewhat involved,Not involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,Currently using,Future plans,NA,NA,NA,NA,NA,NA,StackOverflow,Documentation,Consultants,10,It is really good to simplify the infrastructure.,Aim to user as much as possible managed services,It is a modern way to deliver applications,Study. Learn.  Pocs. Than plan a movement from on premise to the clouds,Service bus.  Managed databases.  Redis cache.  Ml. Ai,NA,NA,NA,NA,NA,NA,NA,NA
11477464177,257620230,2020-04-05T13:53:16Z,2020-04-05T13:55:40Z,NA,NA,NA,NA,Europe,10-49,Consultant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DevOps Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional Services/Consultant,NA,DevOps Consultant,Private cloud / on-premises,Public cloud,Hybrid cloud,NA,51-100,Somewhat involved,Somewhat involved,Very involved,Very involved,Very involved,Very involved,Somewhat involved,Not involved,Very involved,Somewhat involved,Very involved,Very involved,Currently using,Currently using,Currently using,Currently using,NA,NA,NA,Currently using,NA,NA,NA,NA,NA,NA,NA,Documentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
